task_id,box_ensemble_index,english_question,codex_conditional_str
1,0,"After some time has passed, will there be any red blocks remaining on the platform?","filter(isOnPlatform, filter(isRed, finalBoxes)).length > 0"
2,0,"After some time has passed, will there be more red blocks to the left of the platform than purple blocks to the right of the platform?","filter(isLeftOfPlatform, filter(isRed, finalBoxes)).length > filter(isRightOfPlatform, filter(isPurple, finalBoxes)).length"
3,0,"After some time has passed, will most of the blocks have stayed on the platform?","filter(isOnPlatform, finalBoxes).length > filter(isNotOnPlatform, finalBoxes).length"
4,0,"After some time has passed, will there be any purple blocks to the right of the platform?","filter(isRightOfPlatform, filter(isPurple, finalBoxes)).length > 0"
5,0,"After some time has passed, will the number of blocks on the platform be divisible by 3?","filter(isOnPlatform, finalBoxes).length % 3 == 0"
6,0,"After some time has passed, will the majority of the large blocks be on the platform?","filter(isOnPlatform, filter(isLarge, finalBoxes)).length > filter(isNotOnPlatform, filter(isLarge, finalBoxes)).length"
7,1,"After some time has passed, will there be any red blocks remaining on the platform?","filter(isOnPlatform, filter(isRed, finalBoxes)).length > 0"
8,1,"After some time has passed, will there be more red blocks to the left of the platform than purple blocks to the right of the platform?","filter(isLeftOfPlatform, filter(isRed, finalBoxes)).length > filter(isRightOfPlatform, filter(isPurple, finalBoxes)).length"
9,1,"After some time has passed, will most of the blocks have stayed on the platform?","filter(isOnPlatform, finalBoxes).length > filter(isNotOnPlatform, finalBoxes).length"
10,1,"After some time has passed, will there be any purple blocks to the right of the platform?","filter(isRightOfPlatform, filter(isPurple, finalBoxes)).length > 0"
11,1,"After some time has passed, will the number of blocks on the platform be divisible by 3?","filter(isOnPlatform, finalBoxes).length % 3 == 0"
12,1,"After some time has passed, will the majority of the large blocks be on the platform?","filter(isOnPlatform, filter(isLarge, finalBoxes)).length > filter(isNotOnPlatform, filter(isLarge, finalBoxes)).length"
13,2,"After some time has passed, will there be any red blocks remaining on the platform?","filter(isOnPlatform, filter(isRed, finalBoxes)).length > 0"
14,2,"After some time has passed, will there be more red blocks to the left of the platform than purple blocks to the right of the platform?","filter(isLeftOfPlatform, filter(isRed, finalBoxes)).length > filter(isRightOfPlatform, filter(isPurple, finalBoxes)).length"
15,2,"After some time has passed, will most of the blocks have stayed on the platform?","filter(isOnPlatform, finalBoxes).length > filter(isNotOnPlatform, finalBoxes).length"
16,2,"After some time has passed, will there be any purple blocks to the right of the platform?","filter(isRightOfPlatform, filter(isPurple, finalBoxes)).length > 0"
17,2,"After some time has passed, will the number of blocks on the platform be divisible by 3?","filter(isOnPlatform, finalBoxes).length % 3 == 0"
18,2,"After some time has passed, will the majority of the large blocks be on the platform?","filter(isOnPlatform, filter(isLarge, finalBoxes)).length > filter(isNotOnPlatform, filter(isLarge, finalBoxes)).length"
19,3,"After some time has passed, will there be any red blocks remaining on the platform?","filter(isOnPlatform, filter(isRed, finalBoxes)).length > 0"
20,3,"After some time has passed, will there be more red blocks to the left of the platform than purple blocks to the right of the platform?","filter(isLeftOfPlatform, filter(isRed, finalBoxes)).length > filter(isRightOfPlatform, filter(isPurple, finalBoxes)).length"
21,3,"After some time has passed, will most of the blocks have stayed on the platform?","filter(isOnPlatform, finalBoxes).length > filter(isNotOnPlatform, finalBoxes).length"
22,3,"After some time has passed, will there be any purple blocks to the right of the platform?","filter(isRightOfPlatform, filter(isPurple, finalBoxes)).length > 0"
23,3,"After some time has passed, will the number of blocks on the platform be divisible by 3?","filter(isOnPlatform, finalBoxes).length % 3 == 0"
24,3,"After some time has passed, will the majority of the large blocks be on the platform?","filter(isOnPlatform, filter(isLarge, finalBoxes)).length > filter(isNotOnPlatform, filter(isLarge, finalBoxes)).length"
25,4,"After some time has passed, will there be any red blocks remaining on the platform?","filter(isOnPlatform, filter(isRed, finalBoxes)).length > 0"
26,4,"After some time has passed, will there be more red blocks to the left of the platform than purple blocks to the right of the platform?","filter(isLeftOfPlatform, filter(isRed, finalBoxes)).length > filter(isRightOfPlatform, filter(isPurple, finalBoxes)).length"
27,4,"After some time has passed, will most of the blocks have stayed on the platform?","filter(isOnPlatform, finalBoxes).length > filter(isNotOnPlatform, finalBoxes).length"
28,4,"After some time has passed, will there be any purple blocks to the right of the platform?","filter(isRightOfPlatform, filter(isPurple, finalBoxes)).length > 0"
29,4,"After some time has passed, will the number of blocks on the platform be divisible by 3?","filter(isOnPlatform, finalBoxes).length % 3 == 0"
30,4,"After some time has passed, will the majority of the large blocks be on the platform?","filter(isOnPlatform, filter(isLarge, finalBoxes)).length > filter(isNotOnPlatform, filter(isLarge, finalBoxes)).length"
31,5,"After some time has passed, will there be any red blocks remaining on the platform?","filter(isOnPlatform, filter(isRed, finalBoxes)).length > 0"
32,5,"After some time has passed, will there be more red blocks to the left of the platform than purple blocks to the right of the platform?","filter(isLeftOfPlatform, filter(isRed, finalBoxes)).length > filter(isRightOfPlatform, filter(isPurple, finalBoxes)).length"
33,5,"After some time has passed, will most of the blocks have stayed on the platform?","filter(isOnPlatform, finalBoxes).length > filter(isNotOnPlatform, finalBoxes).length"
34,5,"After some time has passed, will there be any purple blocks to the right of the platform?","filter(isRightOfPlatform, filter(isPurple, finalBoxes)).length > 0"
35,5,"After some time has passed, will the number of blocks on the platform be divisible by 3?","filter(isOnPlatform, finalBoxes).length % 3 == 0"
36,5,"After some time has passed, will the majority of the large blocks be on the platform?","filter(isOnPlatform, filter(isLarge, finalBoxes)).length > filter(isNotOnPlatform, filter(isLarge, finalBoxes)).length"
